Code	Title	EngTitle	Url	Lang	ParentCode	DataBaseName	TableId	KeyWords	IconUrl	AboutUs	AboutUsEng	ShowInHome	OrderInHome
01.03.01	نسبة السكان في الفئة العمرية (15-29) سنة في فلسطين  حسب المنطقة	Percentage  of  Population in the age group (15-29) years in  Palestine by Region 			01.03	MS	010301.px		/NSMS//Resources/Images/tblIcon.png				
01.03.02	نسبة السكان في الفئة العمرية (15-29) سنة في فلسطين  حسب المنطقة و الجنس	Percentage  of  Population in the age group (15-29) years in  Palestine by Region and sex 			01.03	MS	010302.px		/NSMS//Resources/Images/tblIcon.png				
01.04	نسبة السكان 65 سنة فأكثر إلى مجمل السكان	Percentage of the population 65 years above to the total population			01				/NSMS//Resources/Images/ind.png	لنسبة المئوية للسكان الذين أعمارهم 65 سنة فاكثر لحظة إسناد معينة	Percentage of population   65 years above to assign certain time		
01.04.01	نسبة السكان في الفئة العمرية 65 سنة  فاكثر في فلسطين  حسب المنطقة	Percentage  of  Population in the age group 65 years and over  in the Palestine by Region			01.04	MS	010401.px		/NSMS//Resources/Images/tblIcon.png				
01.04.02	نسبة السكان في الفئة العمرية 65 سنة فاكثر في فلسطين  حسب المنطقة و الجنس	Percentage  of  Population in the age group  65 years and over in  Palestine by Region and sex			01.04	MS	010402.px		/NSMS//Resources/Images/tblIcon.png				
01.05	نسبة الجنس 	Sex Ratio			01				/NSMS//Resources/Images/ind.png	مؤشر يقيس عدد المواليد الذكور لكل مئة مولود أنثى في سنة معينة 	Is the number of male births per hundred female births in a given year		
01.05.01	 نسبة الجنس  في فلسطين  حسب المنطقة 	 Sex Ratio in  Palestine by Region			01.05	MS	010501.px		/NSMS//Resources/Images/tblIcon.png				
01.06	معدل النمو السكاني	Population Growth Rate			01				/NSMS//Resources/Images/ind.png	هو عبارة عن الفرق بين المواليد والوفيات مضاف اليه صافي الهجرة الدولية مقسوما على عدد السكان في منتصف العام	Is the difference between births and deaths added to net international migration divided by the population in the mid-year		
01.06.01	معدل النمو السكاني المقدر في فلسطين حسب المنطقة	The Estimated  Population Growth Rate in  Palestine by Region			01.06	MS	010601.px		/NSMS//Resources/Images/tblIcon.png				
01.07	متوسط حجم الاسرة	Average Household Size			01				/NSMS//Resources/Images/ind.png	مؤشر يقيس متوسط عدد أفراد الأسر في المجتمع	It refers to the average number of private household members 		
01.07.01	متوسط حجم الاسرة في فلسطين حسب المنطقة	 Average of Household Size in  Palestine by Region			01.07	MS	010701.px		/NSMS//Resources/Images/tblIcon.png				
01.08	معدل الخصوبة الكلية (باستخدام الطريقة المباشرة) لكل امرأة	Total Fertility Rates 			01				/NSMS//Resources/Images/ind.png	مؤشر يقيس متوسط عدد المواليد الأحياء لكل امرأة (أو مجموعة نساء) خلال فترة حياتها (حياتهن) الإنجابية حسب معدلات الخصوبة العمرية لسنة ما، وهو ناتج عن مجموع معدلات الخصوبة التفصيلية العمرية مضروبا في خمسة	The average number of children that would be born alive to a woman (or group of women) during her life time if she were to pass through her child bearing years conforming to the age-specific fertility rates of a given year.		
01.08.01	معدل الخصوبة في فلسطين حسب المنطقة	 Total Fertility Rates  in Palestine by Region			01.08	MS	010801.px		/NSMS//Resources/Images/tblIcon.png				
01.09	معدل الطلاق الخام 	Crude Divorce Rate (CDR)			01				/NSMS//Resources/Images/ind.png	هو عدد حالات الطلاق في سنة معينة لكل ألف نسمة من السكان في تلك السنة	The number of divorces per 1000 population in mid year.		
01.09.01	معدلات الطلاق الخام في فلسطين حسب المنطقة	 Crude Divorce Rate in Palestine by Region			01.09	MS	010901.px		/NSMS//Resources/Images/tblIcon.png				
01.09.02	معدلات الطلاق الخام في فلسطين حسب المحافظة	Crude Divorce Rate in Palestine by Governorate			01.09	MS	010902.px		/NSMS//Resources/Images/tblIcon.png				
01.10	معدل الزواج الخام 	Crude Marriage Rate (CMR)			01				/NSMS//Resources/Images/ind.png	هو عدد الزيجات في سنة معينة لكل ألف نسمة من السكان في تلك السنة	The number of marriages per 1000 population in mid year.		
01.10.01	معدلات الزواج الخام في فلسطين حسب المنطقة	 Crude Marriage Rate in Palestine by Region			01.10	MS	011001.px		/NSMS//Resources/Images/tblIcon.png				
01.10.02	معدلات الزواج الخام في فلسطين حسب المحافظة	Crude Marriage Rate in Palestine by Governorate			01.10	MS	011002.px		/NSMS//Resources/Images/tblIcon.png				
01.11	عقود الزواج المسجلة	Registered marriages 			01				/NSMS//Resources/Images/ind.png	أعداد عقود الزواج المسجلة خلال فترة معينة	The number of marriages registered contracts during a certain period		
01.11.01	أعداد عقود الزواج المسجلة  في فلسطين حسب المنطقة	 Number of Registered Marriagesin  Palestine by Region			01.11	MS	011101.px		/NSMS//Resources/Images/tblIcon.png				
01.11.02	أعداد عقود الزواج المسجلة في فلسطين حسب المحافظة	Number of Registered Marriages in Palestine by Governorate			01.11	MS	011102.px		/NSMS//Resources/Images/tblIcon.png				
01.12	العمر الوسيط عند الزواج الأول للجنسين	 Median Age  at First Marriage			01				/NSMS//Resources/Images/ind.png	هو العمر (عند الزواج الأول) الذي يقسم المتزوجين إلى مجموعتين متساويتين من ناحية العدد	The age of the individual in years at the time of his/her actual marriage.		
01.12.01	لعمر الوسيط في فلسطين عند الزواج الأول في فلسطين  حسب المنطقة و الجنس	 Median Age in the Palestine at First Marriage by Sex and Governorate by Region and sex			01.12	MS	011201.px		/NSMS//Resources/Images/tblIcon.png				
01.12.02	العمر الوسيط في فلسطين عند الزواج الأول حسب المحافظة والجنس	Median Age in thePalestine at First Marriage by Sex and Governorate			01.12	MS	011202.px		/NSMS//Resources/Images/tblIcon.png				
01.13	 وقوعات الطلاق المسجلة	Registered divorces			01				/NSMS//Resources/Images/ind.png	أعداد وقوعات  الطلاق لسنة معينة	The Number of registered Divorces cases  during a certain period		
01.13.01	أعداد وقوعات الطلاق المسجلة  في فلسطين حسب المنطقة	Number of Registered Divorcesin Palestine by Region			01.13	MS	011301.px		/NSMS//Resources/Images/tblIcon.png				
01.13.02	أعداد وقوعات الطلاق المسجلة  في فلسطين  حسب المحافظة	Number of Registered Divorces in Palestine by Governorate			01.13	MS	011302.px		/NSMS//Resources/Images/tblIcon.png				
01.14	معدل الوفيات الخام	Crude Death Rate			01				/NSMS//Resources/Images/ind.png	عدد الوفيات في عام معين لكل ألف من السكان في منتصف ذلك العام	The number of deaths per 1,000 persons in a given year		
01.14.01	معدل الوفيات الخام في فلسطين حسب المنطقة	Crude Death Rate in Palestine by Region			01.14	MS	011401.px		/NSMS//Resources/Images/tblIcon.png				
01.15	معدل المواليد الخام	  Crude Birth Rate			01				/NSMS//Resources/Images/ind.png	عدد المواليد في عام معين لكل ألف من السكان في منتصف ذلك العام	The number of births per 1,000 persons in a given year.		
01.15.01	معدل المواليد الخام في فلسطين حسب المنطقة	  Crude Birth Rate in Palestine by Region			01.15	MS	011501.px		/NSMS//Resources/Images/tblIcon.png				
01.16	توقع البقاء على قيد الحياة 	 Life Expectancy at Birth			01				/NSMS//Resources/Images/ind.png	مؤشر يقيس متوسط عدد السنوات التي يتوقع أن يعيشها المولود إذا استمرت معدلات الوفيات حسب العمر السائدة حالياً على وضعها الراهن وحتى وفاة جميع أفراد فوج المواليد	The average number of additional years a person would live if current mortality trends were to continue. Most commonly cited as life expectancy at birth.		
01.16.01	توقع البقاء على قيد الحياة عند الولادة في فلسطين حسب المنطقة	 Life Expectancy at Birth  in Palestine by Region			01.16	MS	011601.px		/NSMS//Resources/Images/tblIcon.png				
01.16.02	توقع البقاء على قيد الحياة عند الولادة في فلسطين حسب المنطقة والجنس	Life Expectancy at Birth  in Palestine by Region and Sex			01.16	MS	011602.px		/NSMS//Resources/Images/tblIcon.png				
01.17	نسبة الاعالة	Dependency Ratio			01				/NSMS//Resources/Images/ind.png	عدد الأشخاص المعالين لكل مائة شخص في سن العمل	Number of dependents per hundred people of working age		
01.17.01	نسبة الاعالة في فلسطين حسب المنطقة	Dependency Ratio  in Palestine by Region			01.17	MS	011701.px		/NSMS//Resources/Images/tblIcon.png				
02	الصحة	Health										1	2
02.01	معدل وفيات الرضع لكل 1000 مولود حي	Infant  Mortality Rate per 1000 live birth			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس احتمالية الوفاة مابين تاريخ الولادة وقبل بلوغهم العمر سنة  واحدة	Indicator measures the probability of dying between birth and exact age of one year		
02.01.01	معدل وفيات الرضع لكل 1000 مولود حي حسب المنطقة	Infant  Mortality Rate per 1000 live birth by region			02.01	MS	020101.px		/NSMS//Resources/Images/tblIcon.png				
02.01.02	معدل وفيات الرضع لكل 1000 مولود حي حسب نوع التجمع	Infant  Mortality Rate per 1000 live birth by Locality type			02.01	MS	020102.px		/NSMS//Resources/Images/tblIcon.png				
02.01.03	معدل وفيات الرضع لكل 1000 مولود حي حسب الجنس	Infant  Mortality Rate per 1000 live birth by sex			02.01	MS	020103.px		/NSMS//Resources/Images/tblIcon.png				
02.02	معدل وفيات الأطفال دون سن الخمس سنوات لكل 1000 مولود حي	Under-Five Mortality Rate per 1000 live birth			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس احتمالية  الوفاة للاطفال قبل بلوغهم سن الخمس سنوات	Indicator measures Probability of dying between birth and the fifth birthday		
02.02.01	معدل وفيات الأطفال دون سن الخمس سنوات لكل 1000 مولود حي حسب المنطقة	Under-Five Mortality Rate per 1000 live birth by region			02.02	MS	020201.px		/NSMS//Resources/Images/tblIcon.png				
02.02.02	معدل وفيات الأطفال دون سن الخمس سنوات لكل 1000 مولود حي حسب نوع التجمع	Under-Five Mortality Rate per 1000 live birth by Locality Type			02.02	MS	020202.px		/NSMS//Resources/Images/tblIcon.png				
02.02.03	معدل وفيات الأطفال دون سن الخمس سنوات لكل 1000 مولود حي حسب الجنس	Under-Five Mortality Rate per 1000 live birth by Sex			02.02	MS	020203.px		/NSMS//Resources/Images/tblIcon.png				
02.03	نسبة المواليد الذين يزنون أقل من الطبيعي عند الولادة	Percentage of Low-birth weight 			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة المواليد الأحياء خلال السنتين السابقتين للمسح والذين تقل أوزانهم عن 2500 غرام	Indicator measures the percentage  of last live births in the 2 years preceding the survey weighing below 2,500 grams at birth		
02.03.01	نسبة المواليد الذين يزنون أقل من الطبيعي (أقل من 2500غرام ) عند الولادة حسب المنطقة	Low-birth weight (Below 2500 grams ), by Region			02.03	MS	020301.px		/NSMS//Resources/Images/tblIcon.png				
02.04	معدل انتشار فقر الدم بين الأطفال	Anemia among children			02				/NSMS//Resources/Images/ind.png	مؤشر يرصد مدى انتشار فقر الدم بين الأطفال	Indicator monitors the prevalence of anemia among children 		
02.04.01	معدل انتشار فقر الدم بين الأطفال (12-15) شهر حسب المنطقة	Anemia among children (12-15) month, by Region			02.04	MS	020401.px		/NSMS//Resources/Images/tblIcon.png				
02.05	 نسبة الأطفال في عمر سنة واحدة الذين تلقوا مطاعيم محددة	Percentage of Children Aged 1 year  Who Received Selected Vaccines			02				/NSMS//Resources/Images/ind.png	مؤشر يرصد مدى تغطية برامج التحصينات ضد الأمراض (هو وسيلة لتكوين المناعة والمقاومة ضد تكرر الإصابة بالمرض وذلك عن طريق مطاعيم مختلفة)	Indicator monitors the coverage of immunizations programs against diseases (a way for the formation of immune resistance against repeated infection through different vaccinations)		
02.05.01	 نسبة الأطفال في عمر سنة واحدة الذين تلقوا مطاعيم محددة حسب المطعوم والمنطقة	Percentage of Children Aged 1 year  Who Received Selected Vaccines by Type of vaccine and Region			02.05	MS	020501.px		/NSMS//Resources/Images/tblIcon.png				
02.06	معدل الأسرة 	Beds Rates			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس مدى توفر الأسِرّة التمريضية للمواطنين	Indicator measures the availability of nursing beds for population		
02.06.01	معدل الأسرة لكل 10000 من السكان حسب المنطقة	Beds per 10000 person Region			02.06	MS	020601.px		/NSMS//Resources/Images/tblIcon.png				
02.06.02	معدل الأسرة لكل 10000 من السكان حسب المحافظة والمنطقة	Beds per 10000 person by governorate and Region			02.06	MS	020602.px		/NSMS//Resources/Images/tblIcon.png				
02.07	معدل الأطباء 	Physician Rates			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس مدى توفر أطباء بشريين للمواطنين في البلد	Indicator measures the availability of physicians for the people in the country 		
02.07.01	معدل الأطباء لكل 1000 من السكان حسب المنطقة	Physician per 1000 person by region			02.07	MS	020701.px		/NSMS//Resources/Images/tblIcon.png				
02.08	معدل الممرضين 	Nurses Rates			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس مدى توفر ممرضين للمواطنين في البلد	Indicator measures the availability of nurses  for the people in the country		
02.08.01	معدل الممرضين لكل 1000 من السكان حسب المنطقة	Nurses per 1000 person by region 			02.08	MS	020801.px		/NSMS//Resources/Images/tblIcon.png				
02.09	 مراكز الرعاية الأولية 	primary health centers 			02				/NSMS//Resources/Images/ind.png				
02.09.01	عدد السكان لكل مركز رعاية أولية حسب المحافظة والمنطقة	Population per primary health center by Governorate and Region			02.09	MS	020901.px		/NSMS//Resources/Images/tblIcon.png				
02.10	التكلفة التقديرية للمحولين للعلاج خارج مراكز وزارة الصحة 	Estimated costs for treatment outside the ministry 			02				/NSMS//Resources/Images/ind.png				
02.10.01	التكلفة التقديرية للمحولين للعلاج خارج مراكز وزارة الصحة في فلسطين حسب المحافظة والمنطقة 	Estimated costs for treatment outside the ministry by Governorate and Region			02.10	MS	021001.px		/NSMS//Resources/Images/tblIcon.png				
02.11	نسبة الإنفاق العام على الصحة من الناتج المحلي الإجمالي	consumption on health as percent of GDP			02				/NSMS//Resources/Images/ind.png				
02.12	الإنفاق العام على صحة الفرد الواحد	consumption on health per capita			02				/NSMS//Resources/Images/ind.png				
02.13	الإصابة بالأمراض المزمنة (السكري، السرطان)	Persons with Chronic Disease (cancer, diabetes)			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة الأفراد الذين يعانون من مرض مزمن واحد على الأقل مشخص من قبل طبيب	Indicator measures the percentage of individuals who suffer at least from a chronic disease diagnosed by a physician		
02.13.01	نسبة الأفراد 18 سنة فأكثر المصابين بالأمراض المزمنة (السكري، السرطان) ويتلقون علاجا لها حسب المنطقة	Percentage of Persons 18 Years and Over who Reported Having Selected Chronic Diseases (Diabetes, Cancer) and Receiving Treatment by Region			02.13	MS	021301.px		/NSMS//Resources/Images/tblIcon.png				
02.14	 نسبة الافراد ذوي الإعاقة 	 Percentage of disabled individuals			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس مدى انتشار الإعاقة	Indicator measures the prevalence of disability		
02.14.01	 نسبة الافراد ذوي الإعاقة حسب الجنس والمحافظة	 Percentage of disabled individuals by sex and governorate			02.14	MS	021401.px		/NSMS//Resources/Images/tblIcon.png				
02.15	نسبة الأطفال دون الخامسة الذين يعانون  نقص الوزن المزمن (المتوسط أو الحاد)	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe or Moderate)			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة الأطفال الذين تقل أوزانهم مقابل أعمارهم عن (-2SD).	Indicator measures the percentage  of children whose weight for age is less than –2SD.		
02.15.01	نسبة الأطفال دون الخامسة الذين يعانون بصورة متوسطة أو حادة من نقص الوزن المزمن، المتوسط أو الحاد حسب المنطقة	Percentage of Children Under Five Years Who are suffer from Severe or Moderate Under-weight by Region			02.15	MS	021501.px		/NSMS//Resources/Images/tblIcon.png				
02.15.02	نسبة الأطفال دون الخامسة الذين يعانون بصورة متوسطة أو حادة من نقص الوزن المزمن، المتوسط أو الحاد حسب نوع التجمع	Percentage of Children Under Five Years Who are suffer from Severe or Moderate Under-weight by locality Type			02.15	MS	021502.px		/NSMS//Resources/Images/tblIcon.png				
02.15.03	نسبة الأطفال دون الخامسة الذين يعانون بصورة متوسطة أو حادة من نقص الوزن المزمن، المتوسط أو الحاد حسب الجنس	Percentage of Children Under Five Years Who are suffer from Severe or Moderate Under-weight by Sex 			02.15	MS	021503.px		/NSMS//Resources/Images/tblIcon.png				
02.16	نسبة الأطفال دون الخامسة الذين يعانون  نقص الوزن المزمن (الحاد)	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe)			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة الأطفال الذين تقل أوزانهم مقابل أعمارهم عن ((-3SD.	Indicator measures the percentage  of children whose weight for age is less than –3SD.		
02.16.01	نسبة الأطفال دون الخامسة الذين يعانون بصورة  حادة من نقص الوزن المزمن الحاد حسب المنطقة	Percentage of Children Under Five Years Who are suffer from Severe Under-weight by Region			02.16	MS	021601.px		/NSMS//Resources/Images/tblIcon.png				
02.16.02	نسبة الأطفال دون الخامسة الذين يعانون بصورة حادة من نقص الوزن المزمن  الحاد حسب نوع التجمع	Percentage of Children Under Five Years Who are suffer from Severe  Under-weight by locality Type			02.16	MS	021602.px		/NSMS//Resources/Images/tblIcon.png				
02.16.03	نسبة الأطفال دون الخامسة الذين يعانون بصورة حادة من نقص الوزن المزمن الحاد حسب الجنس	Percentage of Children Under Five Years Who are suffer from Severe Under-weight by Sex			02.16	MS	021603.px		/NSMS//Resources/Images/tblIcon.png				
02.17	نسبة الأطفال البالغين من العمر 12-23 شهر، الملقحين ضد الحصبة 	Contraceptive prevalence rate			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة الأطفال البالغة أعمارهم 12-23 شهراً الذين تلقوا تطعيم ضد الحصبة قبل عيد ميلادهم الأول	Indicator measures the percentage  of children age 12-23 months who received measles vaccine by their first birthday		
02.17.01	نسبة الأطفال البالغين من العمر 12-23 شهر، الملقحين ضد الحصبة حسب المنطقة	Percentage of children aged 12-23 months who vaccinated against measles by Region			02.17	MS	021701.px		/NSMS//Resources/Images/tblIcon.png				
02.17.02	نسبة الأطفال البالغين من العمر 12-23 شهر، الملقحين ضد الحصبة حسب نوع التجمع	Percentage of children aged 12-23 months who vaccinated against measles by Locality type			02.17	MS	021702.px		/NSMS//Resources/Images/tblIcon.png				
02.18	نسبة الولادات التي تجري بإشراف موظفي صحة من ذوي الاختصاص 	Percentage of births attended by Skilled Personnel			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس مدى انتشار الولادات تحت إشراف كادر طبي مؤهل	Indicator measures the extent of births under the supervision of qualified medical staff		
02.18.01	نسبة الولادات التي تجري بإشراف موظفي صحة من ذوي الاختصاص حسب المنطقة	Percentage of births attended by Skilled Personnel by region			02.18	MS	021801.px		/NSMS//Resources/Images/tblIcon.png				
02.18.02	نسبة الولادات التي تجري بإشراف موظفي صحة من ذوي الاختصاص حسب نوع التجمع	Percentage of births attended by Skilled Personnel by locality type			02.18	MS	021802.px		/NSMS//Resources/Images/tblIcon.png				
02.19	معدل انتشار وسائل منع الحمل	Contraceptive prevalence rate			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس مدى استخدام الأزواج إحداهما أو كلاهما لوسائل تنظيم الأسرة  	Indicator measures the extent to which spouses use (one or both of them) family planning methods		
02.19.01	نسبة النساء 15-49 سنة المتزوجات ويستخدمن أي وسيلة تنظيم أسرة حسب المنطقة	Percentage of Married Women Aged 15-49 Years Old Using any Family Planning Method by Region			02.19	MS	021901.px		/NSMS//Resources/Images/tblIcon.png				
02.19.02	نسبة النساء 15-49 سنة المتزوجات ويستخدمن أي وسيلة تنظيم أسرة حسب نوع التجمع	 Percentage of Married Women Aged 15-49 Years Old Using any Family Planning Method by Locality type			02.19	MS	021902.px		/NSMS//Resources/Images/tblIcon.png				
02.20	معدل الولادات لدى المراهقات	The birth rate among adolescents 			02				/NSMS//Resources/Images/ind.png	مؤشر يرصد متوسط عدد الولادات لدى الزوجات المراهقات	Indicator monitors the average number of births to adolescent wives		
02.20.01	معدل الولادات لدى المراهقات حسب المنطقة	The birth rate among adolescents by region 			02.20	MS	022001.px		/NSMS//Resources/Images/tblIcon.png				
02.21	 نسبة النساء 15-49 سنة اللواتي تلقين رعاية أثناء الحمل مرة واحدة على الأقل 	Percentage of Women 15-49 Years Who Received Antenatal Care  at least one time 			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة  النساء 15-49 سنة اللواتي حضرن على الأقل مرة خلال فترة الحمل خلال السنتين السابقتين للمسح وأشرف عليهن على الأقل مرة واحدة طاقم طبي مؤهل 	Indicator measures the percentage  of women age 15-49 years who were attended during pregnancy in the 2 years preceding the survey at least once by skilled personnel		
02.21.01	 نسبة النساء 15-49 سنة اللواتي انجبن في السنتين السابقتين للمسح وتلقين رعاية أثناء الحمل مرة واحدة على الأقل حسب المنطقة	Percentage of Women 15-49 Years During the Last Pregnancy in the Two Years Preceding the Survey Who Received Antenatal Care  at least one time by region			02.21	MS	022101.px		/NSMS//Resources/Images/tblIcon.png				
02.21.02	 نسبة النساء 15-49 سنة اللواتي انجبن في السنتين السابقتين للمسح وتلقين رعاية أثناء الحمل مرة واحدة على الأقل حسب نوع التجمع	Percentage of Women 15-49 Years During the Last Pregnancy in the Two Years Preceding the Survey Who Received Antenatal Care  at least one time by Locality Type 			02.21	MS	022102.px		/NSMS//Resources/Images/tblIcon.png				
02.22	 نسبة النساء 15-49 سنة اللواتي تلقين رعاية أثناء الحمل(4 زيارات على الأقل)	Percentage of Women 15-49 Years Who Received Antenatal Care  (at Least 4 Visits) 			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة  النساء 15-49 سنة اللواتي حضرن خلال فترة الحمل في السنتين السابقتين للمسح وأشرف عليهن 4 مرات على الأقل أي مقدم خدمة صحية	Indicator measures the percentage of women (15-49 years) currently married in the reference period and who desire to avoid or postpone pregnancy and not using family planning to all women in the same age group		
02.22.01	نسبة النساء 15-49 سنة اللواتي تلقين رعاية صحية أثناء الحمل الأخير (4 زيارات على الأقل) حسب المنطقة	 Percentage of Women 15-49 Years Who Received Antenatal Care During their Last Pregnancy (at Least 4 Visits) by Region			02.22	MS	022201.px		/NSMS//Resources/Images/tblIcon.png				
02.23	 نسبة النساء 15-49 سنة المتزوجات حاليا واللاتي لديهن حاجة غير ملباة إلى وسائل تنظيم الأسرة 	 Percentage of Women Aged 15-49 Years Currently Married with an Unmet Need for Family Planning			02				/NSMS//Resources/Images/ind.png	مؤشر يقيس نسبة النساء (15- 49) سنة المتزوجات حاليا في فترة الإسناد ولديهن الرغبة في تجنب أو تأجيل الحمل ولا يستخدمن وسيلة تنظيم أسرة من مجموع النساء في نفس الفئة العمرية	Indicator measures the percentage of women (15-49 years) currently married in the reference period and who desire to avoid or postpone pregnancy and not using family planning to all women in the same age group		
02.23.01	 نسبة النساء 15-49 سنة المتزوجات حاليا واللاتي لديهن حاجة غير ملباة إلى وسائل تنظيم الأسرة حسب المنطقة	 Percentage of Women Aged 15-49 Years Currently Married with an Unmet Need for Family Planning by Region			02.23	MS	022301.px		/NSMS//Resources/Images/tblIcon.png				
03	التعليم	Education										1	3
03.01	معدل الدخول الإجمالي للصف الأول الأساسي	Gross Intake rate			03				/NSMS//Resources/Images/ind.png	عدد الطلبة الجدد الملتحقين بالصف الاول الاساسي بغض النظر عن السن مقسوماً على عدد الاطفال في السن الرسمي للالتحاق بالصف الاول الاساسي مضروبا في 100%	Total number of new entrant in the first grade, regardless of age, expressed as a percentage of population at the official first grade entrance age		
03.01.01	معدل الدخول الإجمالي للصف الأول الأساسي حسب المنطقة الجغرافية والجنس	Gross Intake rate by region and sex			03.01	MS	030101.px		/NSMS//Resources/Images/tblIcon.png				
03.02	معدل الالتحاق الاجمالي  	Gross Enrollment rate			03				/NSMS//Resources/Images/ind.png	عدد الطلبة الملتحقين في مرحلة معينة بغض النظر عن السن مقسوماً على عدد السكان في السن الرسمي للالتحاق بتلك المرحلة مضروبا في 100%	Total enrolment in a specific level of education, regardless of age, expressed as a percentage of the eligible official school age population corresponding to the same level education in a given school year.		
03.02.01	معدل الالتحاق الاجمالي حسب المنطقة الجغرافية والجنس	Gross Enrollment rate by Region and Sex			03.02	MS	030201.px		/NSMS//Resources/Images/tblIcon.png				
03.02.02	معدل الالتحاق الاجمالي حسب المرحلة	Gross Enrollment rate by stage			03.02	MS	030202.px		/NSMS//Resources/Images/tblIcon.png				
03.03	معدل الالتحاق الصافي	Net Enrollment rate			03				/NSMS//Resources/Images/ind.png	عدد الطلبة الملتحقين في مرحلة معينة وممن هم في سن الالتحاق الرسمي لتلك المرحلة مقسوماً على عدد السكان في السن الرسمي للالتحاق بتلك المرحلة مضروبا في 100%	Enrolment of the official age group for a given level of education expressed as a percentage of the corresponding population.		
03.03.01	معدل الالتحاق الصافي حسب المنطقة الجغرافية والجنس	Net Enrollment rate by Region and Sex			03.03	MS	030301.px		/NSMS//Resources/Images/tblIcon.png				
03.03.02	معدل الالتحاق الصافي حسب المرحلة	Net Enrollment rate by stage			03.03	MS	030302.px		/NSMS//Resources/Images/tblIcon.png				
03.04	معدل انتقال الطلبة من المرحلة الأساسية إلى المرحلة الثانوية	Transition Rate from basic stage to secondary stage			03				/NSMS//Resources/Images/ind.png	عدد الطلبة المترفعين والملتحقين للصف الحادي عشر (كافة الفروع) في العام الدراسي n مقسوماً على عدد الطلبة الملتحقين بالصف العاشر الاساسي في العام الدراسي n-1 مضروبا في 100%	Percentage of students promoted to, and enrolled in the first secondary grade (all streams) in the school year (n) from the number of the  students of the 10th grade from the school year n-1 		
03.04.01	معدل انتقال الطلبة من المرحلة الأساسية إلى المرحلة الثانوية حسب الجنس	Transition Rate from basic stage to secondary stage by sex			03.04	MS	030401.px		/NSMS//Resources/Images/tblIcon.png				
